FSTOTDE2,CERTHHSZ,FSSSI,FSGA,FSUNEARN,RAWNET,FSTOTDED,FSASSET,WRK_POOR,FSSLTDE2,SHELDED,FSNETINC,FSEARN,FSGRINC,FSERNDE2,FSDIS,FSUSIZE,RAWERND,FSERNDED,FSSTDDE2,FSWAGES,TANF_IND,TPOV,FSSLTDED,FSTANF,FSNELDER,LIQRESOR,REALPROP,HWGT,FSNONCIT,CAT_ELIG,FSVEHAST,VEHICLEA
489.0,4.0,603.0,0.0,603.0,114.0,489.0,0.0,0.0,350.0,350.0,114.0,0.0,603.0,0.0,1.0,4.0,0.0,0.0,209.0,0.0,0.0,36.0,350.0,0.0,0.0,0.0,0.0,755.9227959233921,0.0,0.0,0.0,1.0
701.0,1.0,0.0,0.0,0.0,201.0,701.0,0.0,1.0,387.0,388.0,202.0,903.0,903.0,270.0,0.0,1.0,181.0,180.0,201.0,903.0,0.0,111.0,387.0,0.0,0.0,0.0,0.0,777.946179776418,0.0,0.0,0.0,1.0
134.0,2.0,0.0,0.0,310.0,176.0,134.0,26.0,0.0,0.0,0.0,176.0,0.0,310.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,1.0,28.0,0.0,310.0,0.0,26.0,0.0,762.9979470141016,0.0,1.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,1.0
312.0,5.0,0.0,0.0,865.0,1200.0,312.0,9.0,1.0,21.0,21.0,1201.0,648.0,1513.0,150.0,0.0,5.0,130.0,129.0,183.0,648.0,1.0,78.0,21.0,320.0,0.0,9.0,0.0,1138.7174720868086,0.0,1.0,0.0,1.0
259.0,1.0,312.0,0.0,623.0,363.0,259.0,992.0,0.0,125.0,125.0,364.0,0.0,623.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,76.0,125.0,0.0,1.0,992.0,0.0,830.1091842290721,0.0,1.0,0.0,1.0
517.0,1.0,0.0,0.0,562.0,0.0,517.0,0.0,0.0,383.0,405.0,45.0,0.0,562.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,69.0,383.0,0.0,1.0,0.0,0.0,726.8699045935958,0.0,0.0,0.0,1.0
402.0,1.0,176.0,0.0,402.0,0.0,477.0,419.0,0.0,268.0,343.0,0.0,0.0,402.0,0.0,0.0,1.0,0.0,0.0,126.0,0.0,0.0,49.0,343.0,0.0,1.0,419.0,0.0,711.655694960853,0.0,1.0,0.0,1.0
439.0,4.0,0.0,0.0,0.0,187.0,439.0,194.0,1.0,175.0,175.0,187.0,626.0,626.0,188.0,0.0,4.0,125.0,125.0,209.0,626.0,0.0,38.0,175.0,0.0,0.0,194.0,0.0,779.8308396397807,0.0,0.0,0.0,1.0
462.0,4.0,0.0,0.0,168.0,781.0,462.0,0.0,1.0,61.0,61.0,781.0,1075.0,1243.0,276.0,0.0,4.0,215.0,215.0,200.0,1075.0,0.0,75.0,61.0,0.0,0.0,0.0,0.0,973.2686478004877,0.0,0.0,0.0,1.0
